Player Name	Age	Position	Current Club
Grischa Prömel	29	MF	Hoffenheim
Guillermo Maripán	30	DF	Torino
Gustav Isaksen	23	FW	Lazio
Gvidas Gineitis	20	MF	Torino
Hakan Çalhanoğlu	30	MF	Inter
Hamza Rafia	25	MF	Lecce
Hannes Behrens		DF	Hoffenheim
Hans Nicolussi Caviglia	24	MF	Venezia
Haris Tabakovic	30	FW	Hoffenheim
Harry Kane	31	FW	Bayern Munich
Hassane Kamara	30	DF	Udinese
Hauke Wahl	30	DF	St. Pauli
Henri Koudossou	24	DF	Augsburg
Henrikh Mkhitaryan	35	MF	Inter
Hernani	30	MF	Parma
Hiroki Ito	25	DF	Bayern Munich
Honest Ahanor	16	DF,MF	Genoa
Hong Hyunseok	25	MF	Mainz 05
Hugo Ekitike	22	FW	Eint Frankfurt
Hugo Larsson	20	MF	Eint Frankfurt
Ibrahim Sulemana	21	MF	Atalanta
Ibrahima Sissoko	26	MF	Bochum
Ifechukwu Ogbus	18	DF	Freiburg
Ignace Van Der Brempt	22	DF	Como
Igor Matanovic	21	FW	Eint Frankfurt
Ihlas Bebou	30	MF	Hoffenheim
Iker Bravo	19	FW,MF	Udinese
Ionuț Radu	27	GK	Venezia
Isak Hien	25	DF	Atalanta
Ismael Konate	18	FW,MF	Empoli
Ismaël Bennacer	26	MF	Milan
Issa Doumbia	20	MF	Venezia
Issa Kaboré	23	DF,FW	Werder Bremen
Ivan Ilić	23	MF	Torino
Ivan Nekić	23	DF	Holstein Kiel
Ivan Ordets	32	DF	Bochum
Ivan Provedel	30	GK	Lazio
Ivan Prtajin	28	FW	Union Berlin
Ivan Smolčić	23	DF	Como
Jackson Irvine	31	MF	St. Pauli
Jackson Tchatchoua	22	DF,MF	Hellas Verona
Jacob Bruun Larsen	25	FW,MF	Hoffenheim
Jacob Bruun Larsen	25	MF,FW	Stuttgart
Jacob Ondrejka	21	MF,FW	Parma
Jacopo Bacci	19	MF	Empoli
Jacopo Fazzini	21	MF	Empoli
Jacopo Seghetti	19	GK	Empoli
Jaka Bijol	25	DF	Udinese
Jakov Medić	25	DF	Bochum
Jakub Kamiński	22	DF,MF	Wolfsburg
Jamal Musiala	21	MF	Bayern Munich
James Abankwah	20	DF,MF	Udinese
James Sands	24	MF,DF	St. Pauli
Jamie Gittens	19	FW,MF	Dortmund
Jamie Leweling	23	MF,FW	Stuttgart
Jan Schöppner	25	MF	Heidenheim
Jan-Niklas Beste	25	FW,MF	Freiburg
Janik Haberer	30	MF,DF	Union Berlin
Jann-Fiete Arp	24	FW,MF	Holstein Kiel
Jarzinho Malanga	18	DF	Stuttgart
Jay Idzes	24	DF	Venezia
Jean Butez	29	GK	Como
Jean Mattéo Bahoya	19	MF,FW	Eint Frankfurt
Jean Onana	24	MF	Genoa
Jean-Daniel Akpa-Akpro	31	MF	Monza
Jeanuël Belocian	19	DF,MF	Leverkusen
Jeff Ekhator	17	FW,MF	Genoa
Jeffrey Gouweleeuw	33	DF	Augsburg
Jens Odgaard	25	MF,FW	Bologna
Jens Stage	27	MF	Werder Bremen
Jeong Woo-yeong	24	MF,FW	Union Berlin
Jeremie Frimpong	23	DF,MF	Leverkusen
Jesper Karlsson	26	FW	Bologna
Jesper Karlsson	26	FW	Lecce
Jesper Karlström	29	MF	Udinese
Jesse Joronen	31	GK	Venezia
Jhon Lucumí	26	DF	Bologna
Joakim Mæhle	27	DF	Wolfsburg
Joaquín Correa	29	FW,MF	Inter
Joe Scally	21	DF	Gladbach
Joel Pohjanpalo	29	FW	Venezia
Johan Manzambi	18	FW,MF	Freiburg
Johan Vásquez	25	DF	Genoa
Johannes Eggestein	26	FW	St. Pauli
John Tolkin	22	DF,MF	Holstein Kiel
John Yeboah	24	FW,MF	Venezia
Jonah Kusi-Asare	17	FW	Bayern Munich
Jonas Föhrenbach	28	DF	Heidenheim
Jonas Hofmann	32	MF,DF	Leverkusen
Jonas Omlin	30	GK	Gladbach
Jonas Rouhi	20	DF	Juventus
Jonas Urbig	20	GK	Bayern Munich
Jonas Wind	25	FW,MF	Wolfsburg
Jonathan Burkardt	24	FW	Mainz 05
Jonathan Ikone	26	FW	Como
Jonathan Ikone	26	FW,MF	Fiorentina
Jonathan Tah	28	DF	Leverkusen
Jordan Pefok	28	FW	Union Berlin
Jordan Zemura	24	DF	Udinese
Jordy Makengo	22	DF	Freiburg
Josep Martinez	26	GK	Inter
Josha Vagnoman	23	DF,MF	Stuttgart
Joshua Kimmich	29	MF	Bayern Munich
Josip Juranović	28	DF,MF	Union Berlin
Josip Stanišić	24	DF	Bayern Munich
José Luis Palomino	34	DF	Cagliari
João Félix	24	MF	Milan
João Palhinha	29	MF	Bayern Munich
Joël Schingtienne	21	DF	Venezia
Juan Cuadrado	36	DF,MF	Atalanta
Juan David Cabal	23	DF	Juventus
Juan Jesus	33	DF	Napoli
Juan Miranda	24	DF	Bologna
Juan Musso	30	GK	Atalanta
Julian Brandt	28	MF	Dortmund
Julian Chabot	26	DF	Stuttgart
Julian Niehues	23	MF	Heidenheim
Julian Ryerson	26	DF	Dortmund
Julian Weigl	28	MF	Gladbach
Julien Duranville	18	FW,MF	Dortmund
Julián Malatini	23	DF	Werder Bremen
Junior Adamu	23	FW	Freiburg
Junior Ajayi	19	FW	Hellas Verona
Junior Dina Ebimbe	23	MF,FW	Eint Frankfurt
Junior Messias	33	MF,FW	Genoa
Junior Sambia	27	DF,FW	Empoli
Jurgen Ekkelenkamp	24	MF	Udinese
Justin Diehl	19	FW,DF	Stuttgart
Justin Njinmah	23	FW,MF	Werder Bremen
Jérôme Roussillon	31	DF,MF	Union Berlin
Kacper Koscierski	17	DF	Bochum
Kacper Urbanski	19	MF	Bologna
Kacper Urbanski	19	MF	Monza
Kaishu Sano	23	MF	Mainz 05
Kamil Grabara	25	GK	Wolfsburg
Karim Adeyemi	22	FW,MF	Dortmund
Karim Onisiwo	32	MF,FW	Mainz 05
Karol Linetty	29	MF	Torino
Karol Mets	31	DF	St. Pauli
Kauã Santos	21	GK	Eint Frankfurt
Keinan Davis	26	FW	Udinese
Keita Baldé	29	FW	Monza
Keke Maximilian Topp	20	FW,MF	Werder Bremen
Kenan Yıldız	19	FW,MF	Juventus
Keven Schlotterbeck	27	DF	Augsburg
Kevin Akpoguma	29	DF	Hoffenheim
Kevin Behrens	33	FW	Wolfsburg
Kevin Bonifazi	28	DF	Lecce
Kevin Kampl	33	MF	RB Leipzig
Kevin Martins	19	MF,DF	Monza
Kevin Müller	33	GK	Heidenheim
Kevin Paredes	21	DF	Wolfsburg
Kevin Stöger	30	MF	Gladbach
Kevin Trapp	34	GK	Eint Frankfurt
Kevin Vogt	32	DF	Union Berlin
Kevin Volland	32	FW,MF	Union Berlin
Kevin Zeroli	19	MF	Milan
Kevin Zeroli	19	MF	Monza
Khvicha Kvaratskhelia	23	FW,MF	Napoli
Khéphren Thuram	23	MF	Juventus
Kialonda	26	DF	Lecce
Kike Pérez	27	MF	Venezia
Kilian Fischer	23	DF	Wolfsburg
Kiliann Sildillia	22	DF	Freiburg
Kim Min-jae	27	DF	Bayern Munich
Kingsley Coman	28	FW	Bayern Munich
Kingsley Ehizibue	29	DF	Udinese
Kingstone Mutandwa	21	FW,MF	Cagliari
Kjell-Arik Wätjen	18	MF	Dortmund
Ko Itakura	27	DF	Gladbach
Koji Miyoshi	27	FW,MF	Bochum
Konan N'dri	23	FW,MF	Lecce
Koni De Winter	22	DF	Genoa
Konrad Laimer	27	DF	Bayern Munich
Konstantinos Koulierakis	20	DF	Wolfsburg
Kosta Nedeljković	18	DF	RB Leipzig
Kristijan Jakić	27	MF	Augsburg
Kristjan Asllani	22	MF	Inter
Kyle Walker	34	DF	Milan
Lameck Banda	23	FW,MF	Lecce
Lars Ritzka	26	DF,MF	St. Pauli
Lassana Coulibaly	28	MF	Lecce
Lasse Rieß	23	GK	Mainz 05
Lasse Rosenboom	22	DF	Holstein Kiel
Lautaro Gianetti	30	DF	Udinese
Lautaro Martínez	26	FW	Inter
Lautaro Valenti	25	DF	Parma
Lazar Samardzic	22	MF	Atalanta
Leandro Chichizola	34	GK	Parma
Leandro Paredes	30	MF	Roma
Lee Jae-sung	31	MF	Mainz 05
Lennard Maloney	24	MF	Heidenheim
Lennard Maloney	24	MF	Mainz 05
Leo Skiri Østigård	24	DF	Hoffenheim
Leon Goretzka	29	MF,DF	Bayern Munich
Leonardo Bittencourt	30	MF	Werder Bremen
Leonardo Pavoletti	35	FW,MF	Cagliari
Leonardo Spinazzola	31	DF,FW	Napoli
Leonidas Stergiou	22	DF	Stuttgart
Leopold Querfeld	20	DF	Union Berlin
Leroy Sané	28	FW	Bayern Munich
Lewis Ferguson	24	MF	Bologna
Lewis Holtby	33	MF	Holstein Kiel
Liam Henderson	28	MF	Empoli
Liberato Cacace	23	MF,DF	Empoli
Lior Kasa	18	MF,FW	Genoa
Lloyd Kelly	25	DF	Juventus
Lorenzo Anghelè	19	FW	Juventus
Lorenzo Colombo	22	FW,MF	Empoli
Lorenzo De Silvestri	36	DF	Bologna
Lorenzo Lucca	23	FW	Udinese
Lorenzo Montipò	28	GK	Hellas Verona
Lorenzo Pellegrini	28	MF	Roma
Lorenzo Tosto	18	DF	Empoli
Lorenzo Venturino	18	FW,MF	Genoa
Loum Tchaouna	20	FW,MF	Lazio
Lovro Majer	26	MF	Wolfsburg
Loïs Openda	24	FW,MF	RB Leipzig
Luca Caldirola	33	DF	Monza
Luca Jaquez	21	DF	Stuttgart
